codigo,nombre,precio,laboratorio
302047,GLICEMIA 150 MINUTOS POST CARGA,1409,imalab
302047,GLICEMIA 180 MINUTOS POST CARGA,1409,imalab
302047,GLICEMIA 210 MINUTOS POST CARGA,1409,imalab
302047,GLICEMIA 240 MINUTOS POST CARGA,1409,imalab
302047,GLICEMIA 30 MINUTOS POST CARGA,1409,imalab
302047,GLICEMIA 300 MINUTOS POST CARGA,1409,imalab
302047,GLICEMIA 60 MINUTOS POST CARGA,1409,imalab
302047,GLICEMIA 90 MINUTOS POST CARGA,1409,imalab
309016,GLUCOSA EN ORINA,1574,imalab
309016,GLUCOSA EN ORINA 24 HRS,1574,imalab
302047,GLUCOSA EN SANGRE,1409,imalab
302047,GLUCOSA POST PRANDIAL,1409,imalab
301017,GLUCOSA-6-FOSFATO DESHIDROGENASA EN ERITROCITOS,54244,imalab
309016,GLUCOSURIA 12 HRS,1574,imalab
303014,"GONADOTROFINA CORIONICA, SUB-UNIDAD BETA (Cuantificación)",8832,imalab
308003,GRASAS NEUTRAS EN DEPOSICION (SUDAN III),2523,imalab
702208,GRUPOS MENORES. TIPIFICACION O DETERMINACION DE OTROS SISTEMAS SANGUIN,3004,imalab
301034,GRUPOS SANGUINEOS AB0 Y RHO,2818,imalab
306121,"HANTA VIRUS, ANTICUERPOS IGM TEST RÁPIDO",47921,imalab
301035,HAPTOGLOBINA CUANTITATIVA,18327,imalab
301036,HEMATOCRITO,866,imalab
306091,HEMOCULTIVO AEROBIO AUTOMATIZADO,19940,imalab
306091,HEMOCULTIVO AEROBIO AUTOMATIZADO [2],19940,imalab
306091,HEMOCULTIVO AEROBIO AUTOMATIZADO [3],19940,imalab
306091,HEMOCULTIVO AEROBIO AUTOMATIZADO [4],19940,imalab
306091,HEMOCULTIVO ANAEROBIO AUTOMATIZADO,19940,imalab
306091,HEMOCULTIVO ANAEROBIO AUTOMATIZADO [2],19940,imalab
306091,HEMOCULTIVO ANAEROBIO AUTOMATIZADO [3],19940,imalab
306091,HEMOCULTIVO ANAEROBIO AUTOMATIZADO [4],19940,imalab
306106,HEMOCULTIVO AUTOMATIZADO PARA HONGOS,14633,imalab
306093,HEMOCULTIVO PARA MICOBACTERIAS,21019,imalab
306091,HEMOCULTIVO PEDIATRICO [1],19940,imalab
306091,HEMOCULTIVO PEDIATRICO [2],19940,imalab
306091,HEMOCULTIVO PEDIATRICO [3],19940,imalab
301038,HEMOGLOBINA,866,imalab
301041,HEMOGLOBINA GLICOSILADA HbA1C,5100,imalab
301042,HEMOGLOBINA PLASMATICA,1680,imalab
301044,"HEMOGLOBINA, ELECTROFORESIS DE (INCLUYE HB. TOTAL)",8688,imalab
309023,HEMOGLOBINURIA,1574,imalab
301045,HEMOGRAMA (VHS),3485,imalab
306054,HEMOPARASITOS DIAGNOSTICO POR TECNICA DE STROUT O SIMILAR EN HASTA 10,12482,imalab
